id,prob
1,5.2188727e-05
2,4.0268078e-05
3,4.2381747e-05
4,3.719192e-05
5,5.2188727e-05
6,0.00044432507
7,0.0022029695
8,4.2381747e-05
9,0.000100313744
10,4.233255e-05
11,3.4626293e-05
12,4.6939895e-05
13,5.2188727e-05
14,0.00018561081
15,4.6939895e-05
16,0.0003381594
17,0.00012390641
18,5.2188727e-05
19,5.781412e-05
20,3.4341443e-05
21,4.5257213e-05
22,0.0011467399
23,0.00044432507
24,0.0002935354
25,4.2381747e-05
26,0.0011467399
27,4.2381747e-05
28,0.0002984008
29,4.0268078e-05
30,0.000111833164
31,6.808065e-05
32,5.2188727e-05
33,5.2188727e-05
34,5.2188727e-05
35,4.0268078e-05
36,5.2188727e-05
37,4.5309465e-05
38,0.00013817672
39,4.0268078e-05
40,4.036959e-05
41,4.0268078e-05
42,5.2188727e-05
43,5.2188727e-05
44,0.00018561081
45,0.00044432507
46,0.0005226127
47,0.00044432507
48,6.468541e-05
49,3.132612e-05
50,5.2188727e-05
51,4.0268078e-05
52,5.2188727e-05
53,0.00012262043
54,5.0271225e-05
55,4.0268078e-05
56,6.3384774e-05
57,4.036959e-05
58,0.00018561081
59,5.0144823e-05
60,4.4392353e-05
61,4.3594377e-05
62,6.3549094e-05
63,0.0001228114
64,4.036959e-05
65,4.6939895e-05
66,8.598991e-05
67,5.2188727e-05
68,5.0144823e-05
69,8.810089e-05
70,4.2381747e-05
71,4.0268078e-05
72,8.720021e-05
73,0.0007127312
74,6.507525e-05
75,4.2381747e-05
76,4.0268078e-05
77,5.4395445e-05
78,7.547955e-05
79,8.764563e-05
80,0.0012589032
81,4.2381747e-05
82,4.094574e-05
83,0.00010369825
84,5.2188727e-05
85,8.3396335e-05
86,5.2188727e-05
87,6.808065e-05
88,5.2188727e-05
89,3.1040076e-05
90,0.00044432507
91,0.00029917448
92,3.132612e-05
93,2.978027e-05
94,5.2188727e-05
95,6.478535e-05
96,9.2411e-05
97,6.075236e-05
98,5.2188727e-05
99,3.5007793e-05
100,0.0012029078
101,8.810089e-05
102,9.2411e-05
103,3.4626293e-05
104,0.00044432507
105,5.2188727e-05
106,5.2188727e-05
107,7.790527e-05
108,6.274639e-05
109,0.00014457796
110,5.2188727e-05
111,3.5007793e-05
112,3.5007793e-05
113,0.0033359744
114,9.843628e-05
115,9.935224e-05
116,4.233255e-05
